nctid	race	count
NCT00719563	black or african american	18.0
NCT00719563	white	312.0
NCT00720109	black or african american	9.0
NCT00720109	white	45.0
NCT00720213	black or african american	4.0
NCT00720213	white	32.0
NCT00720226	black or african american	30.0
NCT00720226	white	76.0
NCT00720356	black or african american	3.0
NCT00720356	white	109.0
NCT00720876	black or african american	0.0
NCT00720876	white	25.0
NCT00720941	african american/african heritage	15.0
NCT00720941	american indian or alaska native & white	1.0
NCT00720941	white	707.0
NCT00721162	black or african american	5.0
NCT00721162	white	52.0
NCT00721409	black or african american	2.0
NCT00721409	white	159.0
NCT00721513	black or african american	10.0
NCT00721513	white	10.0
NCT00721630	black or african american	7.0
NCT00721630	white	17.0
NCT00721734	african american	11.0
NCT00721799	black or african american	0.0
NCT00721799	white	23.0
NCT00722137	black or african american	3.0
NCT00722137	white	323.0
NCT00722761	african american	3.0
NCT00723008	african american	3.0
NCT00723021	black	3.0
NCT00723021	white	12.0
NCT00723099	black or african american	7.0
NCT00723099	white	54.0
NCT00723190	black/african american	69.0
NCT00723190	white	186.0
NCT00723229	black or african american	11.0
NCT00723229	white	33.0
NCT00723398	black or african american	4.0
NCT00723398	white	259.0
NCT00723450	african american/african heritage	18.0
NCT00723450	white - arabic/north african heritage	1.0
NCT00723450	white - white/caucasian/european heritage	142.0
NCT00723957	white	144.0
NCT00724126	black or african american	35.0
NCT00724126	white	584.0
NCT00724152	african american	3.0
NCT00724282	black or african american	11.0
NCT00724282	white	8.0
NCT00724308	black or african american	206.0
NCT00724308	white	320.0
NCT00724503	black or african american	10.0
NCT00724503	white	491.0
NCT00724594	black or african american	26.0
NCT00724594	white	20.0
NCT00724711	black or african american	87.0
NCT00724711	white	202.0
NCT00724867	black or african american/african heritage	57.0
NCT00724867	white: middle east/north african heritage	3.0
NCT00724867	white: white/caucasian/european heritage	183.0
NCT00725101	white	1391.0
NCT00725712	black or african american	4.0
NCT00725712	white	60.0
NCT00725764	white	12.0
NCT00726323	black or african american	5.0
NCT00726323	white	64.0
NCT00726375	black or african american	0.0
NCT00726375	white	30.0
NCT00726414	black or african american	1.0
NCT00726414	white	20.0
NCT00726895	black or african american	0.0
NCT00726895	white	23.0
NCT00727272	black or african american	0.0
NCT00727272	white	26.0
NCT00727441	black or african american	3.0
NCT00727441	white	79.0
NCT00727506	black/african american	6.0
NCT00727506	white	141.0
NCT00727857	black or african american	39.0
NCT00727857	white	356.0
NCT00728728	black or african american	63.0
NCT00728728	white	21.0
NCT00728936	black or african american	11.0
NCT00728936	white	46.0
NCT00728949	black or african american	9.0
NCT00728949	white	81.0
NCT00729378	black or african american	14.0
NCT00729378	white	450.0
NCT00729469	black or african american	63.0
NCT00729469	white	805.0
NCT00729586	black or african american	6.0
NCT00729586	white	65.0
NCT00729859	black or african american	3.0
NCT00729859	white	21.0
NCT00729924	black or african american	0.0
NCT00729924	white	40.0
NCT00729937	black or african american	752.0
NCT00729937	white	962.0
NCT00730158	black or african american	2.0
NCT00730158	white	28.0
NCT00730236	black or african american	1.0
NCT00730236	white	25.0
NCT00730327	black (not of hispanic origin)	29.0
NCT00730405	black or african american	66.0
NCT00730405	white	481.0
NCT00730691	black	156.0
NCT00730691	caucasian (white, including hispanic)	604.0
NCT00731055	black or african american	10.0
NCT00731055	white	6.0
NCT00731094	black or african american	54.0
NCT00731094	white	173.0
NCT00731120	black	122.0
NCT00731120	caucasian (white, including hispanic)	327.0
NCT00731588	black or african american	5.0
NCT00731588	white	56.0
NCT00731614	black or african american	2.0
NCT00731614	white	41.0
NCT00731679	black or african american	54.0
NCT00731679	white	561.0
NCT00731822	white	60.0
NCT00732212	black or african american	39.0
NCT00732212	white	175.0
NCT00732238	black	24.0
NCT00732238	non-hispanic white	30.0
NCT00732472	white - white/caucasian/european heritage	38.0
NCT00732615	black or african american	1.0
NCT00732615	white	119.0
NCT00732758	black or african american	84.0
NCT00732758	white	73.0
NCT00733304	black or african american	0.0
NCT00733304	white	42.0
NCT00733408	black or african american	2.0
NCT00733408	white	47.0
NCT00733980	black or african american	81.0
NCT00733980	white	65.0
NCT00734032	black or african american	0.0
NCT00734032	white	0.0
NCT00734071	black	41.0
NCT00734071	caucasian (white, including hispanic)	254.0
NCT00734162	black	1.0
NCT00734162	white	98.0
NCT00734305	black or african american	3.0
NCT00734305	white	40.0
NCT00734344	black or african american	8.0
NCT00734344	white	10.0
NCT00734474	african	50.0
NCT00734539	black or african american	196.0
NCT00734539	white	143.0
NCT00734604	african	12.0
NCT00734903	black or african american	12.0
NCT00734903	white	45.0
NCT00734968	black	2.0
NCT00734968	white	140.0
NCT00734994	black or african american	0.0
NCT00734994	white	15.0
NCT00735306	black or african american	1.0
NCT00735306	white	11.0
NCT00735696	black or african american	4.0
NCT00735696	white	34.0
NCT00735709	black	10.0
NCT00736190	black or african american	0.0
NCT00736190	white	0.0
NCT00736632	black or african american	76.0
NCT00736632	white	47.0
NCT00736645	black or african american	5.0
NCT00736645	white	50.0
NCT00736879	black/african american	12.0
NCT00736879	white	229.0
NCT00736996	black or african american	5.0
NCT00736996	white	58.0
NCT00737100	black/african american	5.0
NCT00737100	white	383.0
NCT00737529	black or african american	1.0
NCT00737529	white or caucasian	128.0
NCT00737568	black or african american	4.0
NCT00737568	white	172.0
NCT00737672	black or african american	154.0
NCT00737672	white	117.0
NCT00737737	black or african american	0.0
NCT00737737	white	3.0
NCT00737893	black or african american	7.0
NCT00737893	white	48.0
NCT00738062	black or african american	0.0
NCT00738062	white	100.0
NCT00738101	black or african american	62.0
NCT00738101	white	186.0
NCT00738361	black or african american	0.0
NCT00738361	white	4.0
NCT00738673	white	36.0
NCT00738894	black or african american	26.0
NCT00738894	white	615.0
NCT00739102	black or african american	31.0
NCT00739102	white or caucasian	214.0
NCT00739401	non-whiterace	7.0
NCT00739401	whiterace	37.0
NCT00739674	black	13.0
NCT00739674	white	773.0
NCT00739752	black or african american	1426.0
NCT00739752	white	224.0
NCT00739765	black or african american	19.0
NCT00739765	white	72.0
NCT00739908	black or african american	62.0
NCT00739908	white	207.0
NCT00741260	black or african american	3.0
NCT00741260	white	74.0
NCT00742079	black or african american	4.0
NCT00742079	white	13.0
NCT00742170	black or african american	0.0
NCT00742170	white	51.0
NCT00742209	aa/african heritage and ai or an and white	1.0
NCT00742209	aa/african heritage and white	3.0
NCT00742209	african american/african heritage (aa)	51.0
NCT00742209	ai or an and white	2.0
NCT00742209	asian and white	2.0
NCT00742209	white	434.0
NCT00742924	black or african american	7.0
NCT00742924	white	13.0
NCT00742963	black or african american	7.0
NCT00742963	white	86.0
NCT00743145	black or african american	10.0
NCT00743145	white	8.0
NCT00743288	black or african american	4.0
NCT00743288	white	32.0
NCT00743340	black	49.0
NCT00744497	black or african american	57.0
NCT00744497	white	1301.0
NCT00744627	black	0.0
NCT00744627	caucasian (white, including hispanic)	301.0
NCT00744939	black or african american	21.0
NCT00744939	white	109.0
NCT00744991	african	4.0
NCT00745420	black or african american	37.0
NCT00746018	black or african american	7.0
NCT00746018	white	31.0
NCT00746330	black or african american	3.0
NCT00746330	white	16.0
NCT00747149	black/african american	12.0
NCT00747149	white	533.0
NCT00748098	african american/african heritage	7.0
NCT00748098	white	120.0
NCT00748215	black or african american	16.0
NCT00748215	white	83.0
NCT00748553	black or african american	7.0
NCT00748553	white	22.0
NCT00749203	black or african american	23.0
NCT00749203	white	7.0
NCT00749411	african american / african heritage	2.0
NCT00749411	white - white/caucasian/european heritage	58.0
NCT00749606	black or african american	33.0
NCT00749606	white	222.0
NCT00749658	white	108.0
NCT00749749	black or african american	7.0
NCT00749749	white	19.0
NCT00749892	black or african american	3.0
NCT00749892	white	30.0
NCT00749957	black or african american	2.0
NCT00749957	white	8.0
NCT00750438	black or african american	6.0
NCT00750438	white	34.0
NCT00751400	black	56.0
NCT00751400	white	399.0
NCT00752102	black or african american	29.0
NCT00752102	white	15.0
NCT00752856	black	5.0
NCT00752856	white	43.0
NCT00752895	black or african american	5.0
NCT00752895	white	286.0
NCT00752973	black or african american	0.0
NCT00752973	white	9.0
NCT00753142	black or african american	28.0
NCT00753142	white	0.0
NCT00753688	african american/african heritage	6.0
NCT00753688	white - arabic/north african heritage	3.0
NCT00753688	white - white/caucasian/european heritage	263.0
NCT00753935	black or african american	12.0
NCT00753935	white	78.0
NCT00754065	black	18.0
NCT00754208	black or african american	0.0
NCT00754208	white	7.0
NCT00754468	black or african american	0.0
NCT00754468	white	0.0
NCT00754741	black or african american	699.0
NCT00754741	white	872.0
NCT00754936	black or african american	4.0
NCT00754936	white	66.0
NCT00755183	black or african american	0.0
NCT00755183	white	58.0
NCT00755417	black	126.0
NCT00755417	white	357.0
NCT00755807	african	15.0
NCT00756002	black or african american	1.0
NCT00756002	white	257.0
NCT00756613	black or african american	180.0
NCT00756613	white	827.0
NCT00756652	black, not of hispanic origin	919.0
NCT00756652	black, of hispanic origin	157.0
NCT00756652	white, not of hispanic origin	32791.0
NCT00756652	white, of hispanic origin	4385.0
NCT00756717	black or african american	3.0
NCT00756717	white	17.0
NCT00757172	black or african american	1.0
NCT00757172	white	64.0
NCT00757237	black or african american	1.0
NCT00757237	white	261.0
NCT00757588	black or african american	22.0
NCT00757588	white	355.0
NCT00757822	black or african american	14.0
NCT00757822	white	106.0
NCT00759707	black or african american	1.0
NCT00759707	white	16.0
NCT00759798	black or african american	19.0
NCT00759798	white	256.0
NCT00760084	black or african american	1.0
NCT00760084	white	8.0
NCT00760435	black or african american	18.0
NCT00760435	white	120.0
NCT00760552	black or african american	0.0
NCT00760552	white	114.0
NCT00760747	african	1.0
NCT00760994	black/african american	34.0
NCT00760994	white (non hispanic)	33.0
NCT00761267	black or african american	1.0
NCT00761267	white	54.0
NCT00761774	black or african american	7.0
NCT00761774	white	97.0
NCT00761891	black or african american	9.0
NCT00761891	white	38.0
NCT00762034	black or african american	94.0
NCT00762411	african	19.0
NCT00762931	black	18.0
NCT00762931	hispanic and white	1.0
NCT00762931	hispanic black	1.0
NCT00762931	white	2.0
NCT00763139	black or african american	2.0
NCT00763139	white	29.0
NCT00763282	black	38.0
NCT00763282	white	98.0
NCT00763451	race: black	4.0
NCT00763451	race: caucasian/white	435.0
NCT00763815	race: black	23.0
NCT00763815	race: caucasian/white	405.0
NCT00764309	black / african american	3.0
NCT00764309	white	24.0
NCT00764322	black or african american	74.0
NCT00764322	white	390.0
NCT00764517	black or african american	0.0
NCT00764517	white	55.0
NCT00764946	black	153.0
NCT00764946	non-black	53.0
NCT00765245	black or african american	3.0
NCT00765245	white	37.0
NCT00765895	black or african american	19.0
NCT00765895	white	108.0
NCT00765999	african american	312.0
NCT00765999	white	1197.0
NCT00766038	black or african american	5.0
NCT00766038	white	58.0
NCT00766090	african american/african her & ai or an & white	1.0
NCT00766090	african american/african heritage (her)	70.0
NCT00766090	african american/african heritage & white	2.0
NCT00766090	white	112.0
NCT00766597	black or african american	2.0
NCT00766597	white	1.0
NCT00766727	black or african american	0.0
NCT00766727	white	5.0
NCT00767325	black or african american	0.0
NCT00767325	white	101.0
NCT00767520	white	126.0
NCT00767806	african	10.0
NCT00767819	black	1.0
NCT00768066	black or african american	2.0
NCT00768066	white	54.0
NCT00768079	black or african american	64.0
NCT00768079	white	41.0
NCT00768287	black or african americanrace	3.0
NCT00768716	black or african american	41.0
NCT00768716	white	54.0
NCT00769015	black or african american	3.0
NCT00769015	white	184.0
NCT00769184	black or african american	2.0
NCT00769184	white	13.0
NCT00769483	black or african american	4.0
NCT00769483	white	61.0
NCT00769704	black	3.0
NCT00769704	white	428.0
NCT00769808	black or african american	2.0
NCT00769808	white	40.0
NCT00770120	black or african american	1.0
NCT00770120	white	55.0
NCT00770146	black	31.0
NCT00770146	white	123.0
NCT00770224	black or african american	3.0
NCT00770224	white	78.0
NCT00771030	black or african american	2.0
NCT00771030	white	18.0
NCT00771173	black or african american	37.0
NCT00771173	white	208.0
NCT00771407	black or african american	6.0
NCT00771407	white	105.0
NCT00771810	black or african american	2.0
NCT00771810	white	28.0
NCT00771927	black or african american	1.0
NCT00771927	white	945.0
NCT00772148	black or african american	4.0
NCT00772148	white	49.0
NCT00773175	black or african american	47.0
NCT00773175	white	79.0
NCT00773279	black or african american	29.0
NCT00773279	white	199.0
NCT00773370	black	38.0
NCT00773370	white	30.0
NCT00773513	black or african american	77.0
NCT00773513	white	2439.0
NCT00773734	black or african american	6.0
NCT00773734	white	327.0
NCT00773838	black or african american	7.0
NCT00773838	white	102.0
NCT00774345	black or african american	5.0
NCT00774345	white	304.0
NCT00774787	black or african american	0.0
NCT00774787	white	26.0
NCT00774800	black or african american	2.0
NCT00774800	white	19.0
NCT00774930	black/african american	5.0
NCT00774930	white	88.0
NCT00775463	black or african american	17.0
NCT00775463	white	121.0
NCT00775645	black or african american	37.0
NCT00775645	white	325.0
NCT00776230	black or african american	0.0
NCT00776230	caucasian/ white	293.0
NCT00776919	black	192.0
NCT00776919	white	1042.0
NCT00777049	race - black or african american	1.0
NCT00777049	race - white	51.0
NCT00777101	black or african american	6.0
NCT00777101	white	141.0
NCT00777556	african-american	48.0
NCT00777556	white	39.0
NCT00777920	black or african americanrace	5.0
NCT00777920	whiterace	126.0
NCT00778258	black or african american	2.0
NCT00778258	white	141.0
NCT00778700	black or african american	6.0
NCT00778700	white or caucasian native	185.0
NCT00779103	black or african american	5.0
NCT00779103	white	12.0
NCT00779402	black or african american	12.0
NCT00779402	white	162.0
NCT00779558	black or african american	2.0
NCT00779558	white	74.0
NCT00779909	non-hispanic black	19.0
NCT00779909	non-hispanic white	16.0
NCT00780026	african american	9.0
NCT00780026	black or african american	9.0
NCT00780026	white	164.0
NCT00780208	black or african american	0.0
NCT00780208	white	14.0
NCT00780234	non-hispanic blackethnicity/race	8.0
NCT00780234	non-hispanic whiteethnicity/race	77.0
NCT00780442	black or african american	19.0
NCT00780442	white	7.0
NCT00780494	black or african american	0.0
NCT00780494	white	27.0
NCT00780559	black or african american	12.0
NCT00780559	white	56.0
NCT00780741	african american	9.0
NCT00780741	white	134.0
NCT00780962	black or african american	97.0
NCT00780962	white	280.0
NCT00781079	african american hispanic	2.0
NCT00781079	african american non-hispanic	52.0
NCT00781079	white hispanic	39.0
NCT00781079	white non hispanic	152.0
NCT00781365	black or african american	53.0
NCT00781365	white	368.0
NCT00781391	black or african american	278.0
NCT00781391	white	17008.0
NCT00781456	black	20.0
NCT00781456	white	51.0
NCT00781885	black or african american	0.0
NCT00781885	white	16.0
NCT00781911	black or african american	1.0
NCT00781911	white	42.0
NCT00781937	black or african american	56.0
NCT00781937	white	355.0
NCT00782067	black or african american	2.0
NCT00782067	pep (n=89) - black	1.0
NCT00782067	pep (n=89) - white	86.0
NCT00782067	white	111.0
NCT00782340	black or african american	3.0
NCT00782340	white	259.0
NCT00782756	black or african american	0.0
NCT00782756	white	36.0
NCT00783432	black or african american	10.0
NCT00783432	white	815.0
NCT00783692	black	23.0
NCT00783692	white	995.0
NCT00783705	black or african american	0.0
NCT00783705	white	80.0
NCT00783718	black	12.0
NCT00783718	white	734.0
NCT00784095	black or african american	14.0
NCT00784095	white	17.0
NCT00784134	black or african american	170.0
NCT00784134	white	305.0
NCT00784147	black or african american	27.0
NCT00784147	white	70.0
NCT00784225	non-white	2453.0
NCT00784225	white	11022.0
NCT00784550	african american/african heritage	14.0
NCT00784550	white	327.0
NCT00784875	african	72.0
NCT00785213	black or african american	1.0
NCT00785213	white	20.0
NCT00785538	black	3.0
NCT00785538	white	18.0
NCT00785577	black or african american	37.0
NCT00785577	white	211.0
NCT00785928	african	2.0
NCT00785980	black or african american	1.0
NCT00785980	white	22.0
NCT00786019	black/african american	13.0
NCT00786019	white	21.0
NCT00786032	black or african american	2.0
NCT00786032	white	24.0
NCT00786409	black or african american	14.0
NCT00786409	white	13.0
NCT00786422	black	23.0
NCT00786422	other (mixed south african descent)	1.0
NCT00786422	white	1.0
NCT00786474	nonwhite	170.0
NCT00786474	white	1709.0
NCT00786825	black or african american	0.0
NCT00786825	white	10.0
NCT00786838	white	51.0
NCT00787722	black or african american	5.0
NCT00787722	white	8.0
NCT00787904	black or african american	10.0
NCT00787904	white	9.0
NCT00788697	black	32.0
NCT00788697	white	161.0
NCT00788775	black or african american	1.0
NCT00788775	white	16.0
NCT00788957	black or african american	2.0
NCT00788957	white or caucasian	148.0
NCT00789191	black or african american	5.0
NCT00789191	white	167.0
NCT00789373	african	7.0
NCT00789581	black or african american	113.0
NCT00789581	white	488.0
NCT00789672	african-american	1.0
NCT00789672	white	31.0
NCT00789685	black or african	3.0
NCT00789737	black or african american	56.0
NCT00789737	white	253.0
NCT00789750	black	115.0
NCT00789776	black or african american	6.0
NCT00789776	white	32.0
NCT00789880	black	9.0
NCT00789880	white	54.0
NCT00789958	black or african american	7.0
NCT00789958	white	66.0
NCT00790023	black/african american	35.0
NCT00790023	white/caucasian	658.0
NCT00790062	african american	1061.0
NCT00790335	black or african american	123.0
NCT00790335	white	541.0
NCT00790569	black or african american	8.0
NCT00790569	white	250.0
NCT00790790	black or african american	16.0
NCT00790790	white	124.0
NCT00790868	black or african american	9.0
NCT00790868	white	166.0
NCT00790907	black african	8.0
NCT00790933	black	42.0
NCT00790933	white	1981.0
NCT00791219	black or african american	9.0
NCT00791219	white	164.0
NCT00791258	black or african american	234.0
NCT00791258	white	630.0
NCT00791479	black or african american	5.0
NCT00791479	white	134.0
NCT00791518	african american/african heritage	146.0
NCT00791518	american indian or alaska native and white	1.0
NCT00791518	white	933.0
NCT00791765	black or african american	11.0
NCT00791765	white or caucasian	90.0
NCT00791934	black or african american	1.0
NCT00791934	white	58.0
NCT00792077	black or african american	2.0
NCT00792077	white	3.0
NCT00792428	black or african american	0.0
NCT00792428	white	20.0
NCT00792571	black or african american	0.0
NCT00792571	white	15.0
NCT00792623	black or african american	0.0
NCT00792623	white	29.0
NCT00792636	african american/african heritage	33.0
NCT00792636	asian and white	1.0
NCT00792636	white	309.0
NCT00792701	black or african american	8.0
NCT00792701	white	66.0
NCT00792909	white - caucasian / european heritage	168.0
NCT00793455	black	156.0
NCT00793455	white	276.0
NCT00793780	black	11.0
NCT00793780	white	11.0
NCT00794040	black or african american	3.0
NCT00794040	white	39.0
NCT00794508	black or african american	1.0
NCT00794508	white	7.0
NCT00794664	black	3.0
NCT00794664	white	49.0
NCT00794950	black or african american	1.0
NCT00794950	white	28.0
NCT00795288	black or african american	5.0
NCT00795288	white	37.0
NCT00795340	black	6.0
NCT00795600	black or african american	0.0
NCT00795600	white	59.0
NCT00795821	black or african american	89.0
NCT00795821	white	378.0
NCT00796978	black or african american	7.0
NCT00796978	white	49.0
NCT00797225	white	174.0
NCT00798096	white	15.0
NCT00798135	black or african american	1.0
NCT00798135	white	12.0
NCT00798603	black or african american	2.0
NCT00798603	white	58.0
NCT00798694	black or african american	18.0
NCT00798694	white	32.0
NCT00798720	black or african american	1.0
NCT00798720	white	17.0
NCT00799266	black	3.0
NCT00799383	black or african american	6.0
NCT00799383	white	40.0
NCT00799604	black or african american	0.0
NCT00799604	white	30.0
NCT00799617	african-americanrace	41.0
NCT00799903	black or african american	366.0
NCT00799903	white	12410.0
NCT00800176	black or african american	6.0
NCT00800176	white	253.0
NCT00800735	black	2.0
NCT00801242	black or african american	0.0
NCT00801242	white	212.0
NCT00801398	black or african american	6.0
NCT00801398	white	50.0
NCT00801632	black or african american	0.0
NCT00801632	white	4.0
NCT00801827	black or african american	1.0
NCT00801827	white	4.0
NCT00801983	black or african american	8.0
NCT00801983	white	67.0
NCT00802204	african american participants	8.0
NCT00802360	african american	10.0
NCT00802438	black or african american	3.0
NCT00802438	white	34.0
NCT00802464	african heritage / african americanrace/ethnicity	9.0
NCT00802464	white - arabic / north african heritagerace/ethnicity	1.0
NCT00802464	white - caucasian / european heritagerace/ethnicity	396.0
NCT00802737	white	28.0
NCT00802919	black-aa	32.0
NCT00802919	white	27.0
NCT00803023	black or african american	5.0
NCT00803023	white	118.0
NCT00803361	black or african american	0.0
NCT00803361	white	0.0
NCT00803543	black or african american	34.0
NCT00803543	white	33.0
NCT00803569	black or african american	0.0
NCT00803569	white	13.0
NCT00803595	black or african american	0.0
NCT00803595	white	0.0
NCT00803634	black or african american	83.0
NCT00803634	white	21.0
NCT00803647	black or african american	0.0
NCT00803647	white	18.0
NCT00803712	black or african american	59.0
NCT00803712	white or caucasian	231.0
NCT00804193	black or african american	84.0
NCT00804193	white	452.0
NCT00804570	black or african american	69.0
NCT00804570	white	286.0
NCT00804986	black or african american	47.0
NCT00804986	white	174.0
NCT00805025	african-american	3.0
NCT00805025	white	84.0
NCT00805207	black or african american	19.0
NCT00805207	white	41.0
NCT00805389	white - caucasian / european heritage	689.0
NCT00805441	black or african american	39.0
NCT00805441	white	136.0
NCT00805532	black or african americanrace/ethnicity	4.0
NCT00805532	white hispanicrace/ethnicity	3.0
NCT00805532	white not hispanicrace/ethnicity	62.0
NCT00805935	african american	1.0
NCT00806221	african american	2.0
NCT00806234	black or african american	36.0
NCT00806234	white	67.0
NCT00806624	black or african american	0.0
NCT00806624	white	0.0
NCT00806676	black or african american	20.0
NCT00806676	white	28.0
NCT00806988	black or african american	50.0
NCT00806988	white	237.0
NCT00807014	black	1.0
NCT00807040	black or african american	44.0
NCT00807040	white	202.0
NCT00807092	black or african american	0.0
NCT00807092	white	0.0
NCT00807495	white	47.0
NCT00807599	black or african american	9.0
NCT00807599	white	39.0
NCT00808470	black or african american	4.0
NCT00808470	white	51.0
NCT00808639	black or african american	0.0
NCT00808639	white	39.0
NCT00809055	black or african american	41.0
NCT00809055	white	29.0
NCT00809146	black or african american	453.0
NCT00809146	white	348.0
NCT00809445	black or african american	263.0
NCT00809445	white	826.0
NCT00809757	black or african american	65.0
NCT00809757	white	121.0
NCT00809835	african-american	25.0
NCT00810069	black or african american	4.0
NCT00810069	white	562.0
NCT00810264	black or african american	220.0
NCT00810264	white	1805.0
NCT00810342	black or african american	8.0
NCT00810342	white	47.0
NCT00810355	black or african american	44.0
NCT00810355	white	30.0
NCT00810459	black or african american	0.0
NCT00810459	white	1.0
NCT00810693	black or african american	6.0
NCT00810693	white	272.0
NCT00810797	african american	1.0
NCT00810888	black or african american	23.0
NCT00810888	white	69.0
NCT00810901	black or african american	3.0
NCT00810901	white	36.0
NCT00811733	african american/african heritage	1.0
NCT00811733	white - white/caucasian/european	33.0
NCT00811954	black non-hispanic	757.0
NCT00811954	white non-hispanic	615.0
NCT00812006	black	1.0
NCT00812006	white	107.0
NCT00812097	black or african american	16.0
NCT00812097	white	881.0
NCT00812110	black or african american	171.0
NCT00812110	white	100.0
NCT00812331	black	3.0
NCT00812331	white	25.0
NCT00812708	black or african american	2.0
NCT00812708	white	47.0
NCT00812838	black or african american	0.0
NCT00812838	white	11.0
NCT00813098	black or african american	10.0
NCT00813098	white	121.0
NCT00813150	african	1.0
NCT00813358	black or african black or african american	11.0
NCT00813358	white	93.0
NCT00813488	black or african american	19.0
NCT00813488	white	191.0
NCT00813709	black	1.0
NCT00813709	white	401.0
NCT00814255	african american	4.0
NCT00814255	white	12.0
NCT00814502	black or african american	1.0
NCT00814502	white	15.0
NCT00814671	black or african american	153.0
NCT00814671	white	0.0
NCT00814879	black or african american	15.0
NCT00814879	white	41.0
NCT00815035	black or african american	1.0
NCT00815035	white	12.0
NCT00815191	african american	2.0
NCT00815191	white	63.0
NCT00815490	african american	2.0
NCT00816023	black or african american	18.0
NCT00816023	white	252.0
NCT00816062	black or african american	9.0
NCT00816062	white	241.0
NCT00816361	black or african american	4.0
NCT00816361	white	39.0
NCT00817063	black or african american	54.0
NCT00817063	white	501.0
NCT00817089	black or african american	0.0
NCT00817089	white	24.0
NCT00817206	black or african american	70.0
NCT00817206	white	237.0
NCT00818454	black/african amer.	44.0
NCT00818454	white	174.0
NCT00818883	black or african american	84.0
NCT00818883	white	517.0
NCT00819052	black	34.0
NCT00819052	white	404.0
NCT00819091	black	17.0
NCT00819091	white	107.0
NCT00819156	black or african american	6.0
NCT00819156	white	180.0
NCT00819182	black or african american	56.0
NCT00819182	white	155.0
NCT00819247	black	5.0
NCT00819247	white	122.0
NCT00819507	african-american	2.0
NCT00819741	black or african american	0.0
NCT00819741	white	0.0
NCT00819780	black or african american	15.0
NCT00819780	white or caucasian	258.0
NCT00819793	african american	4.0
NCT00819793	white	24.0
NCT00820027	black or african american	14.0
NCT00820027	white	693.0
NCT00820170	black or african american	7.0
NCT00820170	white	43.0
NCT00820222	african american/african heritage	2.0
NCT00820222	white - arabic/north african heritage	1.0
NCT00820222	white - white/caucasian/european	526.0
NCT00820235	black or african american	10.0
NCT00820235	white	124.0
NCT00820248	black or african american	3.0
NCT00820248	white	308.0
NCT00820664	black	1.0
NCT00820664	white	28.0
NCT00820872	black or african american	0.0
NCT00820872	white	29.0
NCT00820898	black or african american	2.0
NCT00820898	white	20.0
NCT00820950	white or caucasian	27.0
NCT00821327	black	1.0
NCT00821678	african american	52.0
NCT00821964	black or african american	0.0
NCT00821964	white	13.0
NCT00822510	black or african american	4.0
NCT00822510	white	73.0
NCT00823212	black of african heritage	39.0
NCT00823303	black or african american	74.0
NCT00823303	white	32.0
NCT00823459	black or african american	0.0
NCT00823459	white	50.0
NCT00823719	african american/african heritage	4.0
NCT00823719	white	55.0
NCT00823797	black or african american	1.0
NCT00823797	white	40.0
NCT00824265	african american/african heritage	8.0
NCT00824265	white - arabic/north african heritage	1.0
NCT00824265	white - white/caucasian/european heritage	311.0
NCT00824824	black or african american	1.0
NCT00824824	white	20.0
NCT00824993	black or african american	1.0
NCT00824993	white	75.0
NCT00825370	blackrace/ethnicity	90.0
NCT00825370	whiterace/ethnicity	16.0
NCT00825994	black or african american	5.0
NCT00825994	white	16.0
NCT00826241	black	2.0
NCT00826241	white	51.0
NCT00826280	black or african american	13.0
NCT00826280	white	192.0
NCT00826449	black or african american	4.0
NCT00826449	white	41.0
NCT00827242	black or african american	8.0
NCT00827242	white	296.0
NCT00827359	black or african american	0.0
NCT00827359	white	23.0
NCT00827372	black or african american	1.0
NCT00827372	white	9.0
NCT00827632	non-hispanic african american	53.0
NCT00827632	non-hispanic white	44.0
NCT00827775	black or african american	19.0
NCT00827775	white	31.0
NCT00828009	black or african american	0.0
NCT00828009	white	32.0
NCT00828139	black	12.0
NCT00828139	white	168.0
NCT00828295	black or african american	0.0
NCT00828295	white	150.0
NCT00828321	black	2.0
NCT00828321	white	35.0
NCT00828984	black or african american	9.0
NCT00828984	white	76.0
NCT00829036	black or african american	14.0
NCT00829036	white	9.0
NCT00829283	black	28.0
NCT00829283	white	150.0
NCT00829309	black	1.0
NCT00829387	black or african american	12.0
NCT00829387	white	33.0
NCT00829413	black	22.0
NCT00829413	white	206.0
NCT00829426	black	1.0
NCT00829426	white	27.0
NCT00829452	black	2.0
NCT00829452	white	31.0
NCT00829504	black	30.0
NCT00829504	white	1.0
NCT00829530	black	3.0
NCT00829530	white	32.0
NCT00829673	black	8.0
NCT00829673	white	16.0
NCT00829712	black	5.0
NCT00829712	white	18.0
NCT00829764	black	7.0
NCT00829764	white	9.0
NCT00829790	black	4.0
NCT00829790	white	12.0
NCT00829829	black or african american	36.0
NCT00829829	white	193.0
NCT00829868	black	19.0
NCT00829933	black or african american	0.0
NCT00829933	white	0.0
NCT00829998	black	23.0
NCT00830024	black	1.0
NCT00830024	white	34.0
NCT00830206	black	4.0
NCT00830206	white	73.0
NCT00830219	black	29.0
NCT00830219	white	6.0
NCT00830258	black	12.0
NCT00830310	black or african american	28.0
NCT00830310	white	15.0
NCT00830336	black	1.0
NCT00830336	white	74.0
NCT00830518	black or african american	3.0
NCT00830518	white	46.0
NCT00830869	black or african american	14.0
NCT00830869	white	95.0
NCT00831779	black/african american	15.0
NCT00831779	white	28.0
